orig_idx,k,flipped_indices,status,incorrect_count,correct_count,total_error_fixed
0,2,43;73,-1,0,0,2
0,2,43;74,-1,0,0,2
0,2,43;76,-1,0,0,2
0,2,48;51,-1,0,0,2
0,2,48;52,-1,0,0,2
0,2,48;55,-1,0,0,2
0,2,48;60,-1,0,0,2
0,2,48;61,-1,0,0,2
0,2,48;63,-1,0,0,2
0,2,48;68,-1,0,0,2
0,2,48;73,-1,0,0,2
0,2,48;74,-1,0,0,2
0,2,48;76,-1,0,0,2
0,2,51;52,-1,0,0,2
0,2,51;55,-1,0,0,2
0,2,51;60,-1,0,0,2
0,2,51;61,-1,0,0,2
0,2,51;63,-1,0,0,2
0,2,51;68,-1,0,0,2
0,2,51;73,-1,0,0,2
0,2,51;74,-1,0,0,2
0,2,51;76,-1,0,0,2
0,2,52;55,-1,0,0,2
0,2,52;60,-1,0,0,2
0,2,52;61,-1,0,0,2
0,2,52;63,-1,0,0,2
0,2,52;68,-1,0,0,2
0,2,52;73,-1,0,0,2
0,2,52;74,-1,0,0,2
0,2,52;76,-1,0,0,2
0,2,55;60,-1,0,0,2
0,2,55;61,-1,0,0,2
0,2,55;63,-1,0,0,2
0,2,55;68,-1,0,0,2
0,2,55;73,-1,0,0,2
0,2,55;74,-1,0,0,2
0,2,55;76,-1,0,0,2
0,2,60;61,-1,0,0,2
0,2,60;63,-1,0,0,2
0,2,60;68,-1,0,0,2
0,2,60;73,-1,0,0,2
0,2,60;74,-1,0,0,2
0,2,60;76,-1,0,0,2
0,2,61;63,-1,0,0,2
0,2,61;68,-1,0,0,2
0,2,61;73,-1,0,0,2
0,2,61;74,-1,0,0,2
0,2,61;76,-1,0,0,2
0,2,63;68,-1,0,0,2
0,2,63;73,-1,0,0,2
0,2,63;74,-1,0,0,2
0,2,63;76,-1,0,0,2
0,2,68;73,-1,0,0,2
0,2,68;74,-1,0,0,2
0,2,68;76,-1,0,0,2
0,2,73;74,-1,0,0,2
0,2,73;76,-1,0,0,2
0,2,74;76,-1,0,0,2
1,2,1;3,-1,0,0,2
1,2,1;4,-1,0,0,2
1,2,1;5,-1,0,0,2
1,2,1;8,-1,0,0,2
1,2,1;9,-1,0,0,2
1,2,1;10,-1,0,0,2
1,2,1;11,-1,0,0,2
1,2,1;12,-1,0,0,2
1,2,1;13,-1,0,0,2
1,2,1;14,-1,0,0,2
1,2,1;15,-1,0,0,2
1,2,1;19,-1,0,0,2
1,2,1;23,-1,0,0,2
1,2,1;32,-1,0,0,2
1,2,1;33,-1,0,0,2
1,2,1;34,-1,0,0,2
1,2,1;35,-1,0,0,2
1,2,1;37,-1,0,0,2
1,2,1;42,-1,0,0,2
1,2,1;44,-1,0,0,2
1,2,1;46,-1,0,0,2
1,2,1;47,-1,0,0,2
1,2,1;48,-1,0,0,2
1,2,1;50,-1,0,0,2
1,2,1;51,-1,0,0,2
1,2,1;52,-1,0,0,2
1,2,1;53,-1,0,0,2
1,2,1;57,-1,0,0,2
1,2,1;60,-1,0,0,2
1,2,1;61,-1,0,0,2
1,2,1;66,-1,0,0,2
